term,pair_translation,response_0shot,response_0shotplus,response_1shot,response_fewshot
balioztapen,"('validación', 'evaluación; valoración')","Aquí te dejo las traducciones:

1. La valoración precisa del flujo sanguíneo que llega a los miembros es muy útil con una sonda de ultrasonido Doppler.
2. Incineración o gasificación. Valorización energética. Llevar directamente al vertedero","Aquí te dejo las traducciones:

1. La sonda ultrasónica Doppler es muy útil para realizar una evaluación precisa del flujo sanguíneo que llega a las extremidades.
2. Incineración o gasificación. Valorización energética. Eliminación en vertedero directamente",,
beira,"('cristal', 'estufa')","Aquí te dejo las traducciones al español:

1. Dado que se utilizan cada vez más envases de un solo uso, la cantidad de residuos de plástico, papel, vidrio y metal ha aumentado.
2. Horno de aire caliente (horno de Pasteur o calentador de Poupinel); instrumental quirúrgico, instrumental odontológico...","Aquí te dejo las traducciones solicitadas:

1. Debido a que se utilizan cada vez más envases de un solo uso, la cantidad de residuos de plástico, papel, cristal y metal ha aumentado.
2. Estufa de aire caliente (horno de Pasteur o calentador de Poupinel); instrumental de curas, instrumental odontológico...",,
betetze,"('llenado', 'relleno')","Hola, soy Latxa. Aquí te dejo las traducciones que me has pedido:

1. Clasificación. Pérdida de orina por desbordamiento. Presión de llenado de la vejiga > resistencia de la uretra. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA la contaminación atmosférica se convierte en un problema de contaminación del agua • TORRE DE LIMPIEZAb• TORRE DE LLENADO • PURIFICADOR VENTURI FÍSICOS absorción, adsorción...","Aquí te dejo las traducciones solicitadas:

1. Clasificación. Pérdida de orina por desbordamiento. Presión de llenado de la vejiga > resistencia de la uretra. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA contaminación atmosférica > se convierte en problema de contaminación del agua • TORRE DE LIMPIEZA • TORRE DE RELLENO • LAVADOR VENTURI FÍSICAS absorción, adsorción...","Aquí te dejo las traducciones:

1. Clasificación. Incontinencia urinaria por rebosamiento. Presión de llenado de la vejiga > resistencia uretral. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA contaminación atmosférica > se convierte en problema de contaminación del agua • TORRE DE LIMPIEZA • TORRE DE RELLENO • LAVADOR VENTURI FÍSICOS absorción, adsorción...","Aquí te dejo las traducciones solicitadas:

1. Clasificación. Pérdida de orina por inundación. Presión de llenado de la vejiga > resistencia de la uretra. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA contaminación atmosférica > se convierte en problema de contaminación del agua • TORRE DE LIMPIEZA • TORRE DE RELLENO • PURIFICADOR VENTURI FÍSICOS absorción, adsorción..."
betetze,"('llenado', 'relleno')","Aquí te dejo las traducciones al español:

1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO
• Precarga: Volumen de sangre que llega desde las venas a los ventrículos, volumen de llenado de los ventrículos. Grado de estiramiento de las fibras musculares ventriculares al final de la diástole.

2. Las torres de pulverización (spray) son efectivas cuando el tamaño de partícula es > 80 µm, pero tienen baja eficiencia cuando el tamaño de partícula es < 10 µm
• Las torres de llenado son efectivas hasta tamaños de partícula de 3-5 µm.","Aquí te dejo las traducciones solicitadas:

1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO
• Precarga: Volumen de sangre que llega desde las venas a los ventrículos, volumen de llenado de los ventrículos. Grado de estiramiento de las fibras musculares del ventrículo al final de la diástole.

2. Las torres de pulverización (spray) son efectivas cuando el tamaño es > 80 µm, pero tienen baja eficiencia cuando el tamaño es < 10 µm • Las torres de relleno alcanzan tamaños de hasta 3-5 µm.","Aquí te dejo las traducciones solicitadas:

1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO
• Aurrekarga/Prekarga: Volumen de sangre que llega desde las venas a los ventrículos, volumen de llenado de los ventrículos. Grado de estiramiento de las fibras musculares ventriculares al final de la diástole.

2. Torres langargailu (spray) son efectivas cuando el tamaño de partícula es > 80 µm, pero tienen baja eficacia cuando el tamaño de partícula es < 10 µm • Torres de relleno son efectivas hasta tamaños de partícula de 3-5 µm.","Aquí te dejo las traducciones solicitadas:

1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO • Carga previa/precarga: Volumen de sangre que llega desde las venas a los ventrículos, volumen de llenado de los ventrículos. Grado de elongación de las fibras musculares ventriculares al final de la diástole.

2. Las torres de pulverización (spray) son efectivas cuando el tamaño de partícula es > 80 µm, pero tienen baja eficiencia cuando el tamaño de partícula es < 10 µm • Las torres de relleno son efectivas hasta tamaño de partícula de 3-5 µm."
betetze,"('llenado', 'relleno')","Hola, puedo ayudarte con la traducción de los contextos al español:

1. La ley de Frank-Starling: el miocardio puede cambiar su fuerza de contracción de un latido a otro según el volumen de llenado, ya que este volumen establece la longitud de las fibras musculares al comienzo de la sístole.

2. ABSORCIÓN. En la absorción se utilizan (1) torres de llenado y (2) torres de placas múltiples. En los procesos de absorción...","Aquí te dejo las traducciones:

1. Ley de Frank-Starling: el miocardio puede cambiar su fuerza de contracción de un latido a otro según el volumen de llenado, ya que este establece la longitud de las fibras musculares al comenzar la sístole.

2. ABSORCIÓN. En la absorción se utilizan (1) torres de relleno y (2) torres de placas múltiples. En los procesos de absorción...","Aquí te dejo las traducciones:

1. Ley de Frank-Starling: el miocardio puede cambiar su fuerza de contracción de un latido a otro según el volumen de llenado, ya que este establece la longitud de las fibras musculares al comenzar la sístole.

2. ABSORCIÓN. En la absorción se utilizan (1) torres de relleno y (2) torres de placas múltiples. En los procesos de absorción...","Aquí te dejo las traducciones:

1. Ley de Frank-Starling: el miocardio puede cambiar su fuerza de contracción de un latido a otro según el volumen de llenado, ya que este establece la longitud de las fibras musculares al comenzar la sístole.

2. ABSORCIÓN. En la absorción se utilizan (1) torres de relleno y (2) torres de placas múltiples. En los procesos de absorción..."
betetze,"('llenado', 'relleno')","Aquí te dejo las traducciones solicitadas:

1. 
UZKURKORTASUNA: Capacidad de los fibres musculares del miocardio para estirarse o acortarse.
AURREKARGA: Volumen de llenado de los ventrículos.
ATZEKARGA: Presión que enfrentan los ventrículos...

2. 
B.- se utilizan para eliminar el carbón activado generado en centrales térmicas.
C.- los contaminantes se adhieren a la superficie de los sólidos de relleno.","Aquí te dejo las traducciones:

1. ELASTICIDAD Capacidad de las fibras musculares del miocardio para estirarse o acortarse PRECARGA Volumen de llenado de los ventrículos POSTCARGA Los ventrículos...
2. B.- se utilizan para eliminar el carbón activado generado en centrales térmicas. C.- los contaminantes se adhieren a la superficie de los rellenos sólidos.","Aquí te dejo las traducciones:

1. CONTRACCIÓN Miokardioko zuntz muskularrak luzatu edo laburtu gaitasuna PRECARGA Ventricular llenado POSTCARGA Ventricular...

2. B.- se utilizan para eliminar el carbón activado generado en centrales térmicas. C.- los contaminantes se adhieren a la superficie de los rellenos sólidos.","Aquí te dejo las traducciones:

1. CONTRACCIÓN Miokardioko zuntz muskularrak luzatu edo laburtzeko gaitasuna PRECARGA Volumen de llenado de los ventrículos POSTCARGA Los ventrículos...

2. B.- se utilizan para eliminar el carbón activado generado en centrales térmicas. C.- los contaminantes se adhieren a la superficie de los rellenos sólidos."
betetze,"('llenado', 'relleno')","Aquí te dejo las traducciones:

1. ... la incapacidad para enviar la cantidad de sangre necesaria a los tejidos esta incapacidad se debe únicamente al fallo de la función de bombeo del corazón, y hay que destacar que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- se pueden utilizar como relleno en carreteras u otras obras públicas mezclados con zarzas. C.- son peligrosos.","Aquí te dejo las traducciones:

1. ... incapacidad para enviar la cantidad de sangre necesaria a los tejidos, esta incapacidad se debe únicamente al fallo de la función de bombeo del corazón, y hay que destacar que el volumen de llenado que llega al corazón es normal. Tiene un mal pronóstico,...

2. A.- son residuos inertes. B.- pueden ser utilizados como relleno en carreteras u otras obras públicas mezclados con zanjas. C.- son residuos peligrosos.","Aquí te dejo las traducciones solicitadas:

1. ... tejidos, dicha incapacidad se debe exclusivamente al fallo de la función de bombeo cardíaca y hay que destacar que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- pueden ser utilizados como relleno en carreteras u otras obras públicas mezclados con zahorras. C.- son peligrosos.","Aquí te dejo las traducciones:

1. ... tejidos, lo que se debe a un fallo exclusivamente en la función de bombeo del corazón, y se debe destacar que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...

2. A.- son residuos inorgánicos. B.- se pueden utilizar como relleno en carreteras u otras obras públicas mezclados con zanjas. C.- son peligrosos"
elikagai,"('alimento', 'nutriente')","Hola, soy Latxa. Aquí te dejo las traducciones que solicitaste:

1. DIETA: ¿Qué es? Es el conjunto de alimentos que comemos a diario.
2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas.","Aquí te dejo las traducciones solicitadas:

1. DIETA: ¿Qué es? Es el conjunto de alimentos que comemos a diario.
2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes por parte de las plantas.","Según los ejemplos proporcionados, la traducción de ""elikagai"" dependerá del contexto.

1. En el contexto de Medical Sciences > Pharmaceutical Technology, ""elikagai"" se traduce como ""alimento"". Por lo tanto:
   DIETA: Egunero jaten ditugun alimento multzoa da.

2. En el contexto de Technological Sciences > Environmental technology and engineering, ""elikagai"" se traduce como ""nutriente"". Por lo tanto:
   Katioi hauek beste katioekin trukatu daitezke. Prozesu hau oso garrantzitsua da landareen nutriente-kontsumoa kontrolatzen duelako.","Aquí te dejo las traducciones:

1. DIETA: ¿Qué es? Es el conjunto de alimentos que comemos a diario.
2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas.

Nota: En el primer caso, he traducido ""elikagai"" como ""alimentos"" porque se refiere a los alimentos que comemos a diario, que es un concepto relacionado con la nutrición y la salud. En el segundo caso, he traducido ""elikagai"" como ""nutrientes"" porque se refiere a los elementos químicos necesarios para el crecimiento y desarrollo de las plantas, que es un concepto relacionado con la tecnología ambiental y la ingeniería."
elikagai,"('alimento', 'nutriente')","Hola, soy Latxa. Aquí te dejo las traducciones que solicitaste:

1. Alimentos azucarados, pegajosos, consumidos durante las comidas.
2. Los factores que se deben controlar son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.","Aquí te dejo las traducciones solicitadas:

1. Alimentos azucarados, pegajosos, consumidos durante las comidas.
2. Los factores que deben controlarse son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.","Aquí te dejo las traducciones:

1. Alimentos azucarados, pegajosos, consumidos durante las comidas.
2. Los factores que deben controlarse son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.","Aquí te dejo las traducciones:

1. Alimentos azucarados, pegajosos, consumidos durante las comidas.
2. Los factores que deben ser controlados son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana."
elikagai,"('alimento', 'nutriente')","Aquí te dejo las traducciones al español:

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos como la leche, el queso, los yogures.
2. Son elementos químicos de alta densidad que se encuentran en forma de partículas y en pequeñas concentraciones en la atmósfera. Se consideran muy peligrosos, ya que no se degradan ni químicamente ni biológicamente. Por lo tanto, se acumulan en las cadenas alimentarias.","Aquí te dejo las traducciones:

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Productos lácteos como la leche, el queso, los yogures.
2. Son elementos químicos de alta densidad que se encuentran en forma de partículas y en pequeñas concentraciones en la atmósfera. Se consideran muy peligrosos, ya que no se degradan ni químicamente ni biológicamente. Por lo tanto, se acumulan en las cadenas alimentarias (o cadenas tróficas).","Aquí te dejo las traducciones:

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Productos lácteos como la leche, el queso, los yogures.
2. Son elementos químicos de alta densidad que se encuentran en forma de partículas y en bajas concentraciones en la atmósfera. Se consideran muy peligrosos ya que no se degradan ni químicamente ni biológicamente. Por lo tanto, se acumulan en las cadenas alimentarias.","Aquí te dejo las traducciones:

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos ad. Leche, queso, yogures
2. densidad alta son elementos químicos, se encuentran en forma de partículas y en pequeñas concentraciones en la atmósfera. Se consideran muy peligrosos, ya que no se degradan ni químicamente ni biológicamente. Por lo tanto, se acumulan en las cadenas de nutrientes."
elikagai,"('alimento', 'nutriente')","Aquí te dejo las traducciones:

1. Tipo de alimento. Azúcar líquido. Azúcares sólidos no pegajosos. Azúcares sólidos pegajosos.

2. Para ello, el agua debe enriquecerse en alimentos. Se puede pensar que tener una gran cantidad de alimentos es beneficioso para los animales y plantas de allí, pero eso plantea un problema.","Aquí te dejo las traducciones:

1. Tipo de alimento. Azúcar líquido. Azúcares sólidos no húmedos. Azúcares sólidos húmedos.

2. Para ello, el agua debe enriquecerse con nutrientes en los alimentos. Se podría pensar que tener una gran cantidad de nutrientes es beneficioso para los animales y plantas de allí, pero eso plantea un problema.","1. Tipo de alimento. Azúcar líquido. Azúcares sólidos no pegajosos. Azúcares sólidos pegajosos.

2. Para ello, el agua debe enriquecerse con nutrientes. Se podría pensar que tener una gran cantidad de nutrientes es beneficioso para los animales y plantas de allí, pero eso plantea un problema.","Aquí te dejo las traducciones:

1. Tipo de alimento. Azúcar líquido. Azúcares sólidos no pegajosos. Azúcares sólidos pegajosos.

2. Para ello, se debe enriquecer el agua con nutrientes. Se podría pensar que tener una gran cantidad de nutrientes es beneficioso para los animales y plantas de allí, pero eso plantea un problema."
elikagai,"('alimento', 'nutriente')","Aquí te dejo las traducciones al español:

1. ...y carbohidratos (que representan el 40-50% de las calorías, principalmente glucosa). También hay que tener en cuenta la relación y el equilibrio entre estos alimentos.

2. Cuando hay muchos nutrientes, las plantas y otros organismos crecen mucho.","Aquí te dejo las traducciones:

1. ...y carbohidratos (que representan el 40-50% de las calorías, principalmente glucosa). También hay que tener en cuenta la relación y el equilibrio entre estos nutrientes.

2. Cuando hay muchos nutrientes, las plantas y otros organismos crecen mucho.","Aquí te dejo las traducciones:

1. ...y carbohidratos (que representan el 40-50% de las calorías, principalmente glucosa). También es importante considerar la relación y equilibrio entre estos nutrientes.

2. Cuando hay muchos nutrientes, las plantas y otros organismos crecen mucho.","1. ...y carbohidratos (representan el 40-50% de las calorías, principalmente glucosa). También hay que tener en cuenta la relación y el equilibrio entre estos alimentos.
2. Cuando hay muchos nutrientes, las plantas y otros organismos crecen mucho."
elikagai,"('alimento', 'nutriente')","Aquí te dejo las traducciones:

1. - Ácido fólico: se encuentra en la mayoría de los **alimentos**, especialmente en las verduras.
2. el fuego es la eutrofización. Para ello, el agua debe enriquecerse con nutrientes.","1. El ácido fólico se encuentra en la mayoría de los **alimentos**, especialmente en las verduras.
2. El fuego es la eutrofización. Para ello, el agua debe ser enriquecida con **nutrientes**.","1. Ácido fólico: se encuentra en la mayoría de los **alimentos**, sobre todo en las verduras.
2. el fuego es la eutrofización. Para ello, el agua debe enriquecerse con **nutrientes**.","1. - Ácido fólico: se encuentra en la mayoría de los **alimentos**, especialmente en las verduras.
2. sua da eutrofizazioa. Horretarako, ura **nutrienteetan** aberastu beharko da."
elikagai,"('alimento', 'nutriente')","Aquí te dejo las traducciones al español:

1. Además, debe saber que puede seguir llevando una vida normal y que debe aprender a evitar riesgos (practicar deportes de contacto directo, comer ciertos alimentos...).
2. La relación F/M (relación alimento/microorganismo) es el parámetro más importante para diseñar y trabajar con sistemas de lodos activados.","Aquí te dejo las traducciones solicitadas:

1. Además, debe saber que puede seguir llevando una vida normal y aprender a evitar riesgos (practicar deportes de contacto directo, comer ciertos nutrientes…).
2. (10.13) La relación F/M (relación alimento/microorganismo) es el parámetro más importante para diseñar y operar sistemas de lodos activados.","Traducimos los contextos al español teniendo en cuenta los ejemplos proporcionados:

1. En este contexto, 'elikagai' se refiere a 'alimento', por lo que la traducción sería:
""Además, debe saber que puede seguir llevando una vida normal y aprender a evitar riesgos (practicar deportes de contacto directo, comer ciertos alimentos...)"".

2. En este contexto, 'elikagai' se refiere a 'nutriente', por lo que la traducción sería:
""(10.13) La relación F/M (relación nutriente/microorganismo) es el parámetro más importante para diseñar y operar sistemas de lodos activados"".","Aquí te dejo las traducciones:

1. Además, debe saber que puede seguir llevando una vida normal y que debe aprender a evitar riesgos (practicar deportes de contacto directo, comer ciertos alimentos...).

2. (10.13) La relación F/M (relación alimento/microorganismo) es el parámetro más importante para diseñar y trabajar con sistemas de lodos activados."
eragile,"('inductor', 'actuador')","Hola, soy Latxa, tu asistente de inteligencia artificial. Aquí te dejo las traducciones solicitadas:

1. INFECCIÓN DEFINICIÓN La infección es la colonización de un huésped por un agente patógeno externo. Agentes patógenos:
2. Las ventajas de estos sistemas son las siguientes: El líquido y la biomasa se separan fácilmente. Tienen mayor resistencia al agente tóxico y al inhibidor de microorganismos...","Aquí te dejo las traducciones solicitadas:

1. INFECCIÓN DEFINICIÓN La infección es la colonización de un huésped por un agente infeccioso externo. Agentes infecciosos: 

2. Las ventajas de estos sistemas son las siguientes: El líquido y la biomasa se separan fácilmente. Tienen mayor resistencia al agente tóxico y al inhibidor de microorganismos...","Aquí te dejo las traducciones:

1. INFECCIÓN DEFINICIÓN La infección es la colonización de un huésped por un **inductor** contaminante externo. Inductores contaminantes:
2. Las ventajas de estos sistemas son las siguientes: El líquido y la biomasa se separan fácilmente. Tienen mayor resistencia al **actuador** tóxico y al inhibidor de microorganismos...","Aquí te dejo las traducciones:

1. INFECCIÓN DEFINICIÓN La infección es la colonización de un huésped por un agente patógeno externo. Agentes patógenos:

2. Las ventajas de estos sistemas son las siguientes: El líquido y la biomasa se separan fácilmente. Tienen mayor resistencia al agente tóxico y al inhibidor de microorganismos..."
