term,pair_translation,response_0shot,response_0shotplus,response_1shot,response_fewshot
eragin,"('efecto', 'impacto')","Aquí te dejo las traducciones al español:

1. Tienen un efecto analgésico periférico (actúan en el lugar donde se produce el estímulo doloroso), no en el sistema nervioso central como los opioideos.
2. Entre estos efectos se encuentran, entre otros, el smog fotokimico o seco, la lluvia ácida y la destrucción de la capa de ozono.","Aquí te dejo las traducciones:

1. Tienen efecto analgésico periférico (actúan en el lugar donde se produce el estímulo doloroso), no en el sistema nervioso central, como los opioides.

2. Entre esos impactos destacan, entre otros, el smog fotokimico o seco, la lluvia ácida y la destrucción de la capa de ozono.","Aquí te dejo las traducciones:

1. Tienen un efecto analgésico periférico (actúan en el lugar donde se produce el estímulo doloroso), no en el sistema nervioso central, como los opiáceos.

2. Entre esos impactos destacan, entre otros, el smog fotokimico o seco, la lluvia ácida y la destrucción de la capa de ozono.","Aquí te dejo las traducciones:

1. Tienen un efecto analgésico periférico (actúan en el lugar donde se produce el estímulo doloroso), no en el sistema nervioso central, como los opiáceos.

2. Entre estos efectos se encuentran, entre otros, el smog fotokimico o seco, la lluvia ácida y la destrucción de la capa de ozono."
estalki,"('recubrimiento', 'cubierta')","Hola, aquí te dejo las traducciones solicitadas:

1. Estructura del cerebelo: La materia gris del cerebelo se divide en dos áreas: en la superficie como una cubierta, la corteza cerebelosa, y en los núcleos profundos del cerebelo.

2. Cerca del suelo, la dispersión es grande, pero a una altura determinada, hay un punto de inversión y la difusión vertical está limitada. La inversión actúa como una cubierta que evita la dispersión vertical, pero la dispersión por debajo de la inversión lleva los contaminantes a la superficie terrestre en altas concentraciones.","Aquí te dejo las traducciones:

1. Estructura del cerebelo: La sustancia gris del cerebelo se divide en dos áreas: en la superficie como recubrimiento, la corteza del cerebelo, y en los núcleos profundos del cerebelo.

2. Cerca del suelo, la dispersión es grande, pero a una altura determinada, hay un punto de inversión y la difusión vertical está limitada. La inversión actúa como una cubierta que evita la dispersión vertical, pero la dispersión debajo de la inversión lleva los contaminantes a la superficie terrestre en altas concentraciones.","Aquí te dejo las traducciones:

1. Estructura del cerebelo: La materia gris del cerebelo se divide en dos áreas: en la superficie como recubrimiento, la corteza del cerebelo, y en los núcleos profundos del cerebelo.

2. Cerca del suelo, la dispersión es grande, pero a una altura determinada, hay un punto de inversión y la difusión vertical está limitada. La inversión actúa como una cubierta que evita la dispersión vertical, pero la dispersión debajo de la inversión lleva los contaminantes a la superficie del suelo en concentraciones altas.",
estalki,"('recubrimiento', 'cubierta')","Aquí te dejo las traducciones al español:

1. -Abrir la sonda. La sonda tendrá dos tapas. Retirar completamente la primera tapa. No retirar completamente la segunda tapa, solo la parte superior de la sonda.

2. Las alteraciones cognitivas observadas anteriormente tienen un impacto directo en las capacidades funcionales del paciente.","Aquí te dejo las traducciones solicitadas:

1. -Sonda abierta. La sonda tendrá dos cubiertas. Retirar completamente la primera cubierta. No retirar completamente la segunda cubierta, solo la parte del extremo de la sonda.

2. Las alteraciones cognitivas vistas con anterioridad, tienen un efecto directo en las capacidades funcionales del paciente.

Nota: En el primer contexto, se ha utilizado ""cubierta"" en lugar de ""recubrimiento"" ya que se trata de un término relacionado con la tecnología ambiental y la ingeniería, como se especifica en la solicitud. En el segundo contexto, no se ha utilizado el término ""estalki"" por lo que no ha habido necesidad de elegir entre ""recubrimiento"" o ""cubierta"".","Aquí te dejo las traducciones:

1. -Abrir sonda. La sonda tendrá dos recubrimientos. Retirar completamente el primer recubrimiento. No retirar completamente el segundo, solo el extremo de la sonda.

2. Las alteraciones cognitivas vistas con anterioridad tienen un efecto directo sobre las capacidades funcionales del paciente.

Nota: En el primer caso, se utiliza ""recubrimiento"" para traducir ""estalki"" ya que se refiere a un objeto médico (sonda) y encaja con el ejemplo proporcionado para Medical Sciences > Pharmaceutical Technology.",
talka,"('percusión', 'colisión')","Aquí te dejo las traducciones al español:

1. La desfibrilación debe realizarse con máxima energía (360 J en monofásica, 200 J como mínimo en bifásica), y se administra un choque cada dos minutos mientras persista la fibrilación o taquicardia.

2. Explosivos: son aquellos que pueden explosionar por efecto de una llama, calor, fricción, choque… (nitroglicerina).","Aquí te dejo las traducciones:

1. La desfibrilación debe realizarse con máxima energía (360 J en monofásica, 200 J como mínimo en bifásica), y se administra una percusión cada dos minutos, mientras dure la fibrilación o la taquicardia.

2. Explosivos: son aquellos que pueden explotar por efecto de una llama, calor, fricción, colisión..., (nitroglicerina).","Aquí te dejo las traducciones:

1. La desfibrilación se debe realizar con la máxima energía (360 J en monofásica, 200 J como mínimo en bifásica), y se aplica una percusión cada dos minutos mientras persista la fibrilación o la taquicardia.

2. Explosivos: son aquellos que pueden explotar por efecto de una llama, calor, fricción, colisión… (nitroglizerina).","Aquí te dejo las traducciones:

1. La desfibrilación se debe realizar con la máxima energía (360 J en monofásica, 200 J como mínimo en bifásica), y se aplica una percusión cada dos minutos, mientras dure la fibrilación o la taquicardia.

2. Explosivos: son aquellos que pueden explotar por efecto de una chispa, calor, fricción, colisión… (nitroglizerina)."
talka,"('percusión', 'colisión')","Aquí te dejo las traducciones al español:

1. Si no logramos estas dos medidas en 2 minutos, intentaremos después del próximo choque.
2. Deposición seca: las partículas se sedimentan por efecto de la gravedad, también al chocar con un obstáculo (por ejemplo, al encontrarse con un edificio,...","Aquí te dejo las traducciones:

1. Si no obtenemos estas dos medidas en 2 minutos, lo intentaremos después del próximo choque.
2. Deposición seca: las partículas se sedimentan por efecto de la gravedad, así como al chocar con un obstáculo (por ejemplo, al encontrarse con un edificio,...","Aquí te dejo las traducciones:

1. En Medical Sciences > Pharmaceutical Technology, 'talka' se traduce como 'percusión':
 Bi neurri hauek 2 minutuan lortzen ez baditugu, hurrengo percusiónen ondoren saiatuko gara.

2. En Technological Sciences > Environmental technology and engineering, 'talka' se traduce como 'colisión':
 Deposizio lehorra: partikulak grabitatearen eraginez sedimentatzen dira, baita oztopo batekin colisión egitean ere (adibidez, eraikin batekin topo egitean,...","Aquí te dejo las traducciones:

1. Bi neurri hauek 2 minutuan lortzen ez baditugu, hurrengo percusiónen ondoren saiatuko gara.
2. Deposición seca: las partículas se sedimentan por efecto de la gravedad, así como al chocar con un obstáculo (por ejemplo, al encontrarse con un edificio,..."
talka,"('percusión', 'colisión')","Aquí te dejo las traducciones al español:

1. CARDIOVERSIÓN ELÉCTRICASe utiliza en arritmias rápidas, a través de un choque sincronizado.
2. Se produce cuando dos superficies sólidas chocan (compresor)...","Aquí te dejo las traducciones:

1. CARDIOVERSIÓN ELÉCTRICASe utiliza en arritmias rápidas mediante una percusión sincrónica.
2. La percusión se produce cuando dos superficies sólidas chocan (compresor)...","Aquí te dejo las traducciones:

1. CARDIOVERSIÓN ELÉCTRICASe utiliza en arritmias rápidas, mediante una percusión sincronizada.
2. Se produce cuando dos superficies sólidas chocan (compresor)...","Aquí te dejo las traducciones:

1. CARDIOVERSIÓN ELÉCTRICASe utiliza en arritmias rápidas, mediante una percusión sincronizada.
2. Se produce cuando dos superficies sólidas chocan entre sí (compresor)..."
talka,"('percusión', 'colisión')","Aquí te dejo las traducciones al español:

1. Si se produce una taquicardia o fibrilación ventricular, el desfibrilador emite un choque endocavitario de baja energía (25-30 J) con el fin de interrumpirlas.
2. Las ondas chocan contra la membrana, la membrana vibra y la energía sonora se convierte en energía mecánica y energía térmica.","Aquí te dejo las traducciones:

1. Si se produce una taquicardia o una fibrilación ventricular, el desfibrilador emite una percusión endocavitaria de baja energía (25-30 J) con el fin de interrumpirlas.
2. Las ondas chocan contra la membrana, la membrana vibra y la energía sonora se convierte en energía mecánica y calor.","Aquí te dejo las traducciones:

1. Si se produce una taquicardia o fibrilación ventricular, el desfibrilador emite una percusión endocavitaria de baja energía (25-30 J) con el fin de interrumpirlas.
2. Las ondas chocan contra la membrana, la membrana vibra y la energía sonora se convierte en energía mecánica y energía térmica.","Aquí te dejo las traducciones:

1. Si se produce una taquicardia o fibrilación ventricular, el desfibrilador administra una percusión endocavitaria de baja energía (25-30 J) para intentar interrumpirlas.

2. Las ondas chocan contra la membrana, la membrana vibra y la energía sonora se convierte en energía mecánica y calor."
talka,"('percusión', 'colisión')","Aquí te dejo las traducciones al español:

1. FIBRILACIÓN VENTRICULARPasados 2 minutos, le daremos un nuevo choque, y si no es efectivo, RCP durante otros 2 minutos. Por lo tanto, la desfibrilación se realizará cada 2 minutos mientras se mantenga la fv, manteniendo el RCP entretanto. Después del tercer choque si se mantiene la fv...

2. COLECTORES SECOS La sedimentación seca de partículas ocurre debido a la gravedad o porque chocan con las paredes del colector.","Aquí te dejo las traducciones:

1. FIBRILACIÓN VENTRICULARDespués de pasar 2 minutos, le daremos una nueva percusión, y si no es efectiva, RCP durante otros 2 minutos. La desfibrilación se realizará cada 2 minutos mientras se mantenga la FB, manteniendo el RCP entretanto. Después del tercer percusión si se mantiene la FB...

2. COLECTOR SECO La sedimentación seca de partículas ocurre debido a la gravedad o porque chocan con las paredes del colector, produciendo una colisión.","Aquí te dejo las traducciones:

1. FIBRILACIÓN VENTRICULARPasados 2 minutos, le daremos un nuevo golpe (percusión), y si no es efectivo, CPR otros 2 minutos. La desfibrilación se realizará cada 2 minutos mientras se mantenga la FB, manteniendo el CPR entretanto. 3. después del tercer golpe (percusión) si se mantiene la FB...

2. COLECTORES SECOS La decantación seca de partículas se produce por efecto de la gravedad o porque chocan (colisión) con las paredes del colector.","Aquí te dejo las traducciones:

1. FIBRILACIÓN VENTRICULARDespués de pasar 2 minutos, le daremos un nuevo golpe (percusión), y si no es efectivo, CPR durante otros 2 minutos. Por lo tanto, la desfibrilación se realizará cada 2 minutos mientras se mantenga la FB, manteniendo el CPR entre medio. Después del tercer golpe (percusión) si se mantiene la FB...

2. COLECTORES SECOS La sedimentación seca de partículas ocurre debido a la gravedad o al choque (colisión) con las paredes del colector."
trinkotasun,"('consistencia', 'compactación')","Aquí te dejo las traducciones al español:

1. Adultos FUD (n = 45) mAHGDT (n = 39) 4 semanas Reducción del dolor abdominal y mayor consistencia de las heces en aquellos que realizaron FUD. No hubo diferencia en el alivio de los síntomas.

2. c) DISPONIBILIDAD DEL SUELO. Superficie de suelo necesaria. Datos: - Tasa de producción [=] kg/habitante.día - Nivel de **densidad** de los residuos. Densidad. - Altura máxima de vertido.","Aquí te dejo las traducciones solicitadas:

1. Adultos FUD (n = 45) mAHGDT (n = 39) 4 semanas Reducción del dolor abdominal y mayor consistencia de las heces en aquellos que recibieron FUD. No hubo diferencia en el alivio de los síntomas.

2. c) UTILIDAD DEL SUELO. Superficie de suelo necesaria. Datos: - Tasa de producción [=] kg/hab.día - Nivel de compactación de los residuos. Densidad. - Altura máxima de vertido.",,
urradura,"('rozadura', 'abrasión')","Aquí te dejo las traducciones al español:

1. ...5. Reimplantar el diente poco a poco con presión digital ligera. No utilice fuerza. 6. Si hay laceraciones gingivales, suturar. 7. El diente reubicado...

2. 1 La arena está compuesta por partículas inorgánicas de alta densidad: d > 0,1-0,2 mm, ρ > 2,6 g/cm³, velocidad de sedimentación v > 70 m/hora. Esta operación es necesaria para evitar la erosión en bombas y equipos mecánicos. El sedimentación debe ser selectiva:...","Aquí te dejo las traducciones:

1. ...5. Vuelva a implantar el diente con presión digital suave. No use fuerza. 6. Si existen rozaduras gingivales, sutúrelas. 7. El diente reubicado...
2. 1 La arena está compuesta por partículas inorgánicas de alta densidad: d >0,1-0,2 mm, ρ> 2,6 g.cm3, velocidad de sedimentación v >70 m/hora. Esta operación es necesaria para evitar la abrasión en bombas y equipos mecánicos. El sedimentación debe ser selectiva:...","Aquí te dejo las traducciones:

1. ...5. Reimplantar el diente de manera lenta y con presión digital suave. No utilice fuerza. 6. Si existen rozaduras gingivales, suturar. 7. El diente reubicado...

2. 1 Los granos son partículas inorgánicas de alta densidad: d >0,1-0,2 mm, ρ> 2,6 g.cm3, velocidad de sedimentación v >70 m/hora. Esta operación es necesaria para evitar la abrasión en bombas y equipos mecánicos. El sedimentación debe ser selectiva:...",
urradura,"('rozadura', 'abrasión')","Aquí te dejo las traducciones al español:

1. 5. Retirar el coágulo y reimplantar el diente de manera lenta con presión digital suave. 6. Sutura de las heridas gingivales, especialmente en el área cervical.

2. ...en vegetación, cubrición (erosión). Aprovechamiento energético de gases. Métodos de control: Pasivos (ventilación natural)...","1. 5. Retirar el coágulo y reimplantar el diente con presión digital suave. 6. Suturar las rozaduras gingivales, especialmente en el área cervical.

2. ...en la vegetación, cubierta (abrasiones). Aprovechamiento energético de los gases. Métodos de control: Pasivos (ventilación natural)...","Aquí te dejo las traducciones:

1. 5. Retire el coágulo y reinplante el diente poco a poco con presión digital suave. 6. Suture las rozaduras gingivales, especialmente en el área cervical.

2. ...en la vegetación, cubierta (abrasiones). Explotación energética de gases. Métodos de control: Pasivos (ventilación natural)...",
xafla,"('cuchilla', 'lámina; plancha')","Aquí te dejo las traducciones:

1. Traccionar la lengua con la lámina de bisturí nº 15 y cortar completamente el frenillo.
2. Para ello se utiliza una lámina impermeable con alta resistencia mecánica para evitar la filtración de lixiviados.","Aquí te dejo las traducciones:

1. 3. 15 zenbakiko bisturi-xafla mihia trakzionatu, eta frenulua erabat moztu.
 Traducción: Traccionar la lengua con la cuchilla número 15 del bisturí y cortar completamente el frenillo.

2. Horretarako erresistentzia mekaniko altua duen xafla iragazgaitza erabiltzen da lixibatuen iragazketa eragozteko.
 Traducción: Para ello se utiliza una lámina impermeable con alta resistencia mecánica para evitar la filtración de lixiviados.","1. Cuchilla de bisturí nº 15 traccionando la lengua y cortando completamente el frenillo.
2. Para ello se utiliza una lámina impermeable con alta resistencia mecánica para evitar la filtración de lixiviados.","Aquí te dejo las traducciones:

1. 3. Con una cuchilla de bisturí nº 15, traccionar la lengua y cortar completamente el frenillo.
2. Para ello se utiliza una lámina impermeable con alta resistencia mecánica para evitar la filtración de lixiviados."
xafla,"('cuchilla', 'lámina; plancha')","Aquí te dejo las traducciones:

1. Similar a la banda de visión, con una lámina de plástico/metal que guiará la erupción del número 6.
2. El material utilizado para hacer estas láminas se llama geosintético (está compuesto por fibras de polipropileno o poliéster de alta densidad).","Aquí te dejo las traducciones:

1. Similar a la banda-begizta, con una cuchilla de plástico/metal que guiará la erupción del 6.
2. El material utilizado para hacer estas láminas se llama geosintético (está compuesto por fibras de polipropileno o poliéster de alta densidad).","Aquí te dejo las traducciones:

1. Similar a la banda-begizta, con una lámina de plástico/metal que guiará la erupción del 6.
2. El material utilizado para hacer estas láminas se llama geosintético (está compuesto por fibras de polipropileno o poliéster de alta densidad).","Aquí te dejo las traducciones:

1. Similar a la banda de contención, con una lámina de plástico/metal que guiará la erupción del 6.
2. El material utilizado para fabricar estas láminas se denomina geosintético (está compuesto por fibras de polipropileno o poliéster de alta densidad)."
xafla,"('cuchilla', 'lámina; plancha')","Aquí te dejo las traducciones al español:

1. Para realizar correctamente la colocación de la placa, es imprescindible la medición mediante RX (aquí se producen la mayoría de los errores).
2. Las membranas utilizadas suelen ser placas planas de poliestireno aniónicas o catiónicas.","Aquí te dejo las traducciones:

1. Para realizar correctamente el posicionamiento de la cuchilla, es imprescindible la medición mediante RX (la mayoría de los errores ocurren en esta etapa).

2. Las membranas utilizadas suelen ser láminas planas de poliestireno aniónicas o catiónicas.","Aquí te dejo las traducciones:

1. Para realizar correctamente la colocación de la lámina, es imprescindible la medición mediante RX (la mayoría de los errores se producen en esta etapa).
2. Las membranas utilizadas suelen ser láminas planas de poliestireno aniónicas o catiónicas.","Aquí te dejo las traducciones:

1. Para realizar correctamente la colocación de la cuchilla, es fundamental la medición mediante RX (aquí se producen la mayoría de los errores).
2. Las membranas utilizadas suelen ser láminas planas de poliestireno aniónicas o catiónicas."
xafla,"('cuchilla', 'lámina; plancha')","Aquí te dejo las traducciones al español:

1. Como no afecta a la circulación venosa de retorno, se puede colocar tanto de arriba abajo como al revés. -Máquina de cortar el pelo o hoja de afeitar: se utiliza para cortar el pelo o depilarse.
2. Ubicación y forma: debe colocarse lo más cerca posible. Material: puede estar compuesto por una o varias láminas.","Aquí te dejo las traducciones:

1. Dado que no afecta a la circulación venosa de retorno, se puede colocar tanto boca arriba como boca abajo. -Máquina de cortar el pelo o cuchilla de afeitar: se utiliza para cortar el pelo o depilarse.
2. Ubicación y forma: debe colocarse lo más cerca posible. Material: puede estar compuesto por una o varias láminas.","Aquí te dejo las traducciones:

1. Dado que no afecta a la circulación venosa de retorno, se puede colocar tanto boca arriba como boca abajo. -Máquina de cortar el pelo o cuchilla de afeitar: se utiliza para cortar el pelo o depilarse.
2. Ubicación y forma: debe colocarse lo más cerca posible. Material: puede estar compuesto por una o varias láminas.","Aquí te dejo las traducciones:

1. Dado que no afecta a la circulación sanguínea de retorno, se puede colocar tanto de arriba abajo como al revés. -Máquina de cortar pelo o cuchilla de afeitar: se utiliza para cortar pelo o depilarse.

2. Ubicación y forma: debe colocarse lo más cerca posible. Material: puede estar compuesto por una o varias láminas."
xafla,"('cuchilla', 'lámina; plancha')","Hola, aquí te dejo las traducciones solicitadas:

1. La reducción se realiza quirúrgicamente. Se utilizan placas metálicas, tornillos, etc.
2. Los más utilizados son los micrófonos de condensador. Estos tienen dos placas con carga eléctrica.","Aquí te dejo las traducciones:

1. La reducción se realiza quirúrgicamente. Se utilizan placas metálicas, tornillos, etc.
2. Los más utilizados son los micrófonos de condensador. Estos tienen dos láminas con carga eléctrica.","Aquí te dejo las traducciones:

1. La reducción se realiza quirúrgicamente. Se utilizan una chuchilla, tornillos y demás.
2. Los más utilizados son los micrófonos de condensador. Estos tienen dos láminas con carga eléctrica.","Aquí te dejo las traducciones:

1. La reducción se realiza quirúrgicamente. Se utilizan planchas metálicas, tornillos, etc.
2. Los más utilizados son los micrófonos de condensador. Estos tienen dos láminas con carga eléctrica."
xafla,"('cuchilla', 'lámina; plancha')","Aquí te dejo las traducciones al español:

1. Mediante el envío de haces de luz de un láser de femtosegundo a una lámina metálica, han logrado transferir la característica de la superficie con rugosidad nanométrica de las plantas hidrófugas a una pequeña lámina metálica.

2. Estas tienen dos láminas con carga eléctrica. Una lámina es fija y la otra es móvil.","Aquí te dejo las traducciones:

1. Utilizando un láser de femtosegundos para enviar haces de luz hacia una plancha de metal, han logrado transferir la característica de la superficie con rugosidad nanométrica de las plantas hidrofugas a una pequeña plancha de metal.

2. Estos tienen dos láminas con carga eléctrica. Una lámina es fija y la otra es móvil.","Aquí te dejo las traducciones:

1. Utilizando un láser de femtosegundos para enviar haces de luz hacia una lámina de metal, han logrado transferir la característica de la superficie nanometricamente rugosa de las plantas hidrófugas a una pequeña lámina de metal.

2. Estos tienen dos láminas con carga eléctrica. Una lámina es fija y la otra es móvil.","Aquí te dejo las traducciones:

1. Mediante el envío de haces de luz por un láser de femtosegundos a una plancha de metal, han logrado trasladar la característica de la superficie con rugosidad nanométrica de las plantas hidrofugas a una pequeña plancha de metal.

2. Estos tienen dos láminas con carga eléctrica. Una lámina es fija y la otra es móvil."
